order_id,customer_id,order_timestamp,status,currency,total_amount
1,380,,processing,USD,768.06
2,467,2026-02-18 02:28:23,completed,EUR,1093.35
3,470,2025-01-14 11:22:12,cancelled,EUR,448.5
4,676,2025-05-30 03:09:57,completed,USD,1062.09
5,92,2025-01-22 15:48:14,processing,RUB,243.2
6,103,2024-12-12 04:11:41,completed,EUR,337.18
7,466,2024-12-17 00:16:14,cancelled,EUR,1903.08
8,661,2024-12-30 16:57:31,cancelled,USD,470.41
9,275,2025-04-05 12:29:27,completed,USD,1359.68
10,0,2026-01-21 03:56:04,cancelled,RUB,2059.1
11,175,2024-11-12 05:51:09,processing,EUR,564.62
12,660,2025-02-28 18:51:50,processing,RUB,1101.3
13,178,2025-03-06 08:09:27,processing,USD,448.66
14,122,2025-05-23 12:48:47,completed,USD,1260.9
15,96,2024-11-07 14:01:18,completed,RUB,424.95
16,586,2026-02-03 08:08:20,cancelled,RUB,983.74
17,192,2024-07-27 04:07:00,cancelled,USD,314.94
18,676,2025-01-05 06:00:33,completed,RUB,634.88
19,114,2025-02-10 05:37:05,completed,EUR,79.5
20,80,2024-07-20 09:27:33,cancelled,EUR,402.98
21,76,2024-07-05 00:20:51,processing,EUR,693.58
22,462,2025-08-02 14:16:29,processing,RUB,452.78
23,622,2025-02-10 03:12:51,processing,EUR,1490.79
24,0,2025-04-27 12:35:46,completed,USD,1392.09
25,0,2025-06-22 20:48:51,completed,EUR,231.98
26,31,2026-03-07 09:06:44,completed,EUR,282.24
27,357,2025-11-04 11:16:05,processing,EUR,1500.6
28,410,2025-01-28 13:48:55,cancelled,RUB,693.32
29,106,2024-11-19 22:07:32,cancelled,USD,273.51
30,457,2026-03-30 23:21:33,cancelled,RUB,945.69
31,205,2025-09-21 11:42:37,cancelled,USD,230.21
32,601,2025-11-07 21:59:15,completed,USD,913.0
33,331,2024-08-01 00:19:44,cancelled,RUB,91.18
34,149,2025-07-11 11:43:09,completed,RUB,1041.78
35,477,2025-11-19 05:40:49,processing,EUR,570.4
36,218,2025-10-26 17:58:59,processing,RUB,1082.91
37,662,2025-01-25 13:47:44,completed,USD,1225.68
38,506,2024-12-15 07:36:45,processing,EUR,273.76
39,335,2024-09-01 13:44:00,completed,RUB,149.67
40,473,2024-09-01 23:29:10,completed,RUB,112.52
41,346,2025-11-14 02:44:17,cancelled,EUR,416.63
42,325,2025-11-02 16:21:05,completed,EUR,1947.8
43,403,2026-01-27 19:22:46,processing,USD,1703.4
44,0,2026-04-29 18:48:16,completed,EUR,77.98
45,175,2024-09-09 14:32:53,processing,RUB,1229.73
46,54,2026-04-08 18:15:53,cancelled,EUR,33.52
47,338,2024-08-30 02:42:22,processing,USD,569.04
48,472,2025-12-24 11:10:46,processing,EUR,757.98
49,126,2024-09-21 07:12:23,processing,EUR,1336.08
50,495,2025-11-02 18:49:24,completed,EUR,1075.74
51,676,2024-09-29 03:00:53,completed,EUR,46.82
52,14,2025-07-15 18:11:31,completed,USD,408.32
53,605,2025-04-25 16:11:52,processing,EUR,1147.92
54,158,2026-04-11 01:15:11,cancelled,EUR,234.4
55,636,2024-11-08 17:22:54,processing,EUR,87.26
56,315,2025-01-28 16:51:18,completed,USD,82.17
57,17,2024-10-02 18:33:27,cancelled,RUB,243.36
58,272,2025-11-30 09:39:46,processing,USD,664.26
59,442,2025-02-09 21:17:00,processing,USD,573.5699999999999
60,433,2026-01-12 10:41:02,cancelled,RUB,602.16
61,532,2026-04-27 22:44:37,completed,USD,959.8
62,37,2024-09-21 05:17:57,processing,USD,297.55
63,734,2024-11-28 15:28:57,cancelled,RUB,739.24
64,211,2024-12-31 08:07:38,completed,EUR,1067.6100000000001
65,190,2024-08-24 01:41:20,completed,RUB,1488.6
66,323,2026-03-17 03:15:31,processing,USD,1352.82
67,486,,processing,USD,1325.46
68,361,2025-06-15 23:27:33,completed,EUR,1751.52
69,18,2025-06-06 19:02:27,completed,USD,534.76
70,103,2025-12-07 23:44:17,cancelled,EUR,1001.68
71,680,2024-08-20 05:14:31,processing,EUR,415.6
72,680,2026-03-04 21:26:41,processing,EUR,1236.65
73,0,2024-11-17 05:26:37,cancelled,USD,666.18
74,32,2025-10-24 05:32:16,completed,RUB,744.48
75,387,2024-09-15 17:59:26,completed,EUR,2253.1
76,272,2026-01-28 20:44:12,cancelled,EUR,604.8
