payment_id,order_id,payment_method,amount,currency,payment_timestamp
1,1,card,768.06,USD,
2,2,online,1093.35,EUR,2026-02-19 06:28:23
3,4,card,1062.09,USD,2025-05-31 01:09:57
4,5,card,243.2,RUB,2025-01-24 19:48:14
5,6,online,337.18,EUR,2024-12-13 14:11:41
6,9,online,1359.68,USD,2025-04-05 20:29:27
7,11,cash,564.62,EUR,2024-11-13 23:51:09
8,12,card,1101.3,RUB,2025-03-02 04:51:50
9,13,card,448.66,USD,2025-03-08 16:09:27
10,14,cash,1260.9,USD,2025-05-23 17:48:47
11,15,card,424.95,RUB,2024-11-09 03:01:18
12,18,cash,634.88,RUB,2025-01-06 21:00:33
13,19,card,79.5,EUR,2025-02-13 03:37:05
14,21,cash,693.58,EUR,2024-07-06 15:20:51
15,22,online,452.78,RUB,2025-08-03 12:16:29
16,23,card,1490.79,EUR,2025-02-11 19:12:51
17,24,card,1392.09,USD,2025-04-29 03:35:46
18,25,cash,231.98,EUR,2025-06-23 19:48:51
19,26,crypto,282.24,EUR,2026-03-08 02:06:44
20,27,online,1500.6,EUR,2025-11-04 17:16:05
21,32,online,913.0,USD,2025-11-10 00:59:15
22,34,card,1041.78,RUB,2025-07-13 01:43:09
23,35,cash,570.4,EUR,2025-11-19 22:40:49
24,36,card,1082.91,RUB,2025-10-28 07:58:59
25,37,online,1225.68,USD,2025-01-28 07:47:44
26,38,card,273.76,EUR,2024-12-15 11:36:45
27,39,card,149.67,RUB,2024-09-02 08:44:00
28,40,card,112.52,RUB,2024-09-04 22:29:10
29,42,card,1947.8,EUR,2025-11-04 07:21:05
30,43,cash,1703.4,USD,2026-01-30 09:22:46
31,44,card,77.98,EUR,2026-05-02 01:48:16
32,45,card,1229.73,RUB,2024-09-11 12:32:53
33,47,card,569.04,USD,2024-08-31 14:42:22
34,48,card,757.98,EUR,2025-12-27 10:10:46
35,49,card,1336.08,EUR,2024-09-22 08:12:23
36,50,online,1075.74,EUR,2025-11-03 19:49:24
37,51,cash,46.82,EUR,2024-09-30 21:00:53
38,52,card,408.32,USD,2025-07-17 00:11:31
39,53,card,1147.92,EUR,2025-04-26 09:11:52
40,55,online,87.26,EUR,2024-11-10 22:22:54
41,56,crypto,82.17,USD,2025-01-31 16:51:18
42,58,card,664.26,USD,2025-12-02 03:39:46
43,59,online,573.5699999999999,USD,2025-02-11 08:17:00
44,61,cash,959.8,USD,2026-04-28 14:44:37
45,62,card,297.55,USD,2024-09-22 05:17:57
46,64,card,1067.6100000000001,EUR,2025-01-01 13:07:38
47,65,card,1488.6,RUB,2024-08-26 17:41:20
48,66,card,1352.82,USD,2026-03-18 14:15:31
49,67,crypto,1325.46,USD,
50,68,card,1751.52,EUR,2025-06-17 08:27:33
51,69,crypto,534.76,USD,2025-06-09 10:02:27
52,71,card,415.6,EUR,2024-08-21 15:14:31
53,72,online,1236.65,EUR,2026-03-06 01:26:41
54,74,online,744.48,RUB,2025-10-25 05:32:16
55,75,online,2253.1,EUR,2024-09-16 18:59:26
56,78,card,191.97,USD,2025-01-04 21:46:58
57,80,card,232.39,USD,2025-10-29 08:09:46
58,82,card,1680.05,RUB,2025-12-08 22:39:00
59,83,cash,443.4,USD,2025-09-11 12:43:12
60,87,card,228.24,RUB,2025-10-29 15:10:32
61,89,online,479.17,EUR,2025-08-06 17:45:16
62,90,card,1304.9,USD,2026-01-09 13:30:08
63,93,cash,1393.56,USD,2025-03-05 19:04:35
